region,age,marital,address,income,ed,retire,gender,reside,custcat
2,35,1,9,64,4,0,0,2,1
3,23,1,7,136,,0,0,6,4
3,52,1,24,116,1,0,1,2,3
2,34,0,12,33,2,0,1,1,1
2,30,1,9,30,1,0,0,4,3
2,39,0,17,78,2,0,1,1,3
3,,1,2,19,2,0,1,5,2
2,35,0,5,76,2,0,0,3,4
3,59,1,7,166,?,0,0,5,3
1,41,1,21,72,1,0,0,3,2
2,33,0,10,125,4,0,1,1,1
3,35,0,14,80,2,0,1,1,3
1,38,1,8,37,2,0,1,3,1
2,54,1,30,115,4,0,1,3,4
2,46,0,3,25,1,0,1,2,1
1,38,1,12,75,5,0,0,4,2
3,57,0,38,162,2,0,0,1,3
3,48,0,3,49,2,0,1,3,3
2,24,0,3,20,1,0,0,1,1
1,29,1,3,77,4,0,0,4,4
3,30,0,7,16,3,0,1,1,2
1,,1,17,120,1,0,0,2,1
3,34,0,10,101,5,0,1,2,4
3,48,1,19,67,1,0,0,3,1
3,43,1,18,36,1,0,0,5,3
2,21,0,0,33,2,0,1,3,3
2,40,0,7,37,2,0,1,1,4
3,33,1,11,31,1,0,0,4,3
1,21,1,1,17,2,0,1,3,1
2,33,1,9,19,4,0,1,2,2
1,37,1,6,?,1,0,1,,2
1,53,1,27,155,5,0,0,2,4
1,50,1,26,140,2,0,1,4,3
1,27,1,8,55,5,0,0,3,2
2,23,1,13,163,3,0,0,2,4
3,35,1,11,52,4,0,0,2,2
2,60,0,38,211,4,0,0,1,4
1,57,1,1,186,2,0,0,2,3
1,41,1,0,39,1,0,1,2,3
2,57,0,34,22,2,1,1,1,3
3,41,0,7,30,1,0,0,1,3
2,28,0,0,29,2,0,1,1,3
2,28,1,4,23,2,0,0,5,1
1,36,1,14,,4,0,0,6,4
1,43,1,20,76,4,0,1,4,3
1,41,1,3,74,4,0,0,2,2
1,51,1,27,63,4,0,0,5,2
3,41,1,0,36,4,0,0,2,4
3,34,1,9,33,2,0,1,4,1
1,36,0,14,29,2,0,1,1,3
2,34,1,4,27,2,0,0,5,1
1,52,1,28,49,2,0,0,4,2
3,22,0,0,24,4,0,0,1,4
1,26,1,3,26,2,0,0,5,1
1,27,0,6,47,3,0,0,2,1
2,45,1,1,94,2,0,1,5,1
3,34,0,8,21,3,0,1,1,2
1,62,1,36,27,1,0,0,2,1
2,52,0,27,30,2,0,1,1,3
2,40,1,16,127,4,0,1,4,2
2,39,1,15,137,2,0,1,2,3
2,50,1,1,80,2,0,1,4,4
3,55,0,24,30,2,0,0,1,1
2,51,1,11,438,4,0,1,2,4
2,39,0,16,79,2,0,0,1,4
3,47,1,16,63,1,0,0,2,1
3,51,1,22,40,3,0,1,6,3
1,67,1,44,51,1,1,0,2,3
1,27,0,5,37,3,0,0,4,1
3,43,0,19,61,4,0,1,1,1
1,57,1,15,22,2,0,0,2,1
3,39,0,6,44,4,0,1,1,2
1,42,0,4,17,3,0,0,1,1
2,43,0,13,110,5,0,1,3,2
2,48,1,13,91,2,0,0,2,3
1,46,0,3,46,2,0,0,1,1
1,38,1,10,85,3,0,0,2,3
2,71,0,27,10,2,1,0,1,1
1,68,0,28,244,1,0,1,1,3
1,42,0,0,80,4,0,1,1,4
3,34,1,15,83,5,0,1,2,4
2,31,0,2,21,1,0,0,1,1
3,48,1,,24,2,0,0,2,4
2,53,0,2,351,3,0,1,1,3
2,52,1,4,169,4,0,1,4,2
2,27,1,7,46,2,0,0,4,1
1,26,0,6,34,3,0,0,1,2
2,54,1,2,50,4,0,0,2,4
2,35,0,16,161,5,0,1,1,4
1,47,1,17,212,4,0,0,2,3
3,51,1,3,80,5,0,0,3,2
2,42,0,1,30,4,0,1,1,1
3,61,1,3,53,5,0,1,2,2
3,33,0,9,73,5,0,1,1,4
3,20,1,1,17,2,0,1,4,1
2,33,0,9,23,5,0,0,1,4
1,53,1,21,34,1,0,0,2,3
3,36,1,5,107,1,0,1,3,2
2,25,1,5,21,1,0,1,2,3
3,58,0,30,83,2,0,1,1,2
1,20,0,1,17,3,0,0,5,4
3,25,1,4,76,3,0,1,6,3
2,24,0,2,19,1,0,0,1,3
1,32,1,0,49,4,0,1,3,2
2,47,0,21,173,3,0,1,1,2
2,35,0,4,47,3,0,1,1,2
1,61,0,23,41,2,0,0,1,1
3,39,0,8,105,3,0,1,1,4
1,54,0,2,31,4,0,0,1,1
2,40,1,13,41,2,0,0,3,2
3,50,1,30,102,4,0,1,3,2
2,22,1,2,36,4,0,1,5,2
2,37,0,13,24,1,0,1,1,1
2,22,0,1,25,4,0,0,2,2
1,42,0,1,68,2,0,1,1,3
1,34,0,11,20,3,0,1,1,1
3,31,0,4,48,1,0,0,1,3
1,29,1,6,40,2,0,1,5,3
1,55,0,15,79,1,0,0,1,3
3,31,0,1,28,1,0,0,1,1
2,48,0,12,64,2,0,1,1,1
3,41,0,15,37,2,0,0,1,1
3,47,1,7,48,1,0,0,2,1
1,42,1,6,131,5,0,0,3,2
3,29,1,9,18,2,0,0,3,1
2,36,0,10,38,2,0,1,1,2
3,23,0,3,37,2,0,1,3,4
2,31,1,1,60,4,0,0,5,2
3,22,1,2,13,3,0,1,4,2
2,64,1,18,98,1,0,1,2,4
1,52,1,2,195,1,0,0,2,3
2,35,1,0,47,1,0,0,5,1
1,47,1,19,65,2,0,0,3,4
1,50,1,22,150,5,0,1,4,2
2,39,0,6,106,5,0,0,1,3
3,40,0,19,51,4,0,1,1,1
2,38,0,17,96,4,0,1,1,1
2,43,0,4,33,5,0,0,2,3
3,25,1,6,38,2,0,1,3,3
3,32,0,6,125,4,0,0,1,4
1,37,1,13,145,5,0,1,4,4
1,44,1,2,99,2,0,0,3,3
1,34,1,2,22,4,0,1,3,4
2,60,1,21,31,1,1,0,2,2
1,36,0,3,25,1,0,1,1,3
3,25,0,5,57,5,0,1,2,1
2,51,1,21,41,5,0,0,6,4
3,25,1,1,20,3,0,1,2,2
3,43,1,4,101,2,0,1,5,2
1,37,0,8,56,2,0,0,1,2
2,27,1,5,22,2,0,1,3,1
1,37,0,11,108,4,0,1,1,3
3,48,0,14,115,4,0,1,1,4
3,54,0,31,53,4,0,0,1,4
3,53,0,13,242,4,0,0,1,4
1,24,1,2,20,2,0,1,5,3
2,47,0,5,123,4,0,0,1,1
2,35,0,0,34,1,0,0,1,1
1,29,1,8,31,4,0,1,5,2
3,44,0,25,47,1,0,1,2,3
3,37,1,11,48,3,0,1,2,3
2,64,1,22,13,2,1,1,3,3
2,52,1,18,78,1,0,0,2,1
3,26,0,7,34,1,0,1,2,3
1,46,0,17,81,5,0,1,1,2
1,45,1,14,86,2,0,0,2,2
3,27,1,0,26,4,0,0,4,4
3,34,1,5,51,2,0,1,5,1
3,31,0,10,59,3,0,0,1,1
1,53,0,21,112,4,0,0,1,2
2,56,1,14,57,4,0,0,2,4
1,48,1,20,41,1,0,1,2,1
2,46,1,19,168,2,0,1,2,4
2,33,0,4,29,4,0,1,3,1
3,58,0,13,167,2,0,1,2,2
3,24,0,5,29,2,0,0,3,1
1,55,0,28,104,1,0,1,1,3
3,22,1,0,46,4,0,0,2,4
3,26,0,5,46,4,0,1,3,4
1,33,0,8,51,4,0,1,1,1
2,42,1,11,65,2,0,0,2,4
2,33,0,1,48,2,0,0,2,1
3,34,1,1,46,3,0,0,4,2
2,63,1,15,43,2,0,0,2,2
3,53,0,30,110,1,0,0,1,2
3,26,0,2,32,3,0,0,3,1
3,22,1,1,18,3,0,1,2,1
1,39,1,1,26,4,0,0,4,2
3,28,1,9,34,2,0,1,6,3
1,54,1,18,57,4,0,1,3,3
2,54,1,20,21,2,0,1,3,1
3,33,0,7,38,3,0,1,1,4
1,21,0,2,19,3,0,1,1,2
